# Time,Isd_mean,Isd_std,Isd_rms,Isd_minTime,Ig_mean,Ig_std,Ig_rms,Ig_min
1.999924649999999929e+03,-3.690785999999998120e-07,4.101625292490800407e-09,3.691013902818572039e-07,-3.769399999999999858e-07,-2.264602000000000034e-09,3.105468422411665779e-09,3.843482319589879347e-09,-6.150700000000000277e-09
2.099924689999999828e+03,-3.719711999999999738e-07,4.149892837170653388e-09,3.719943483979292303e-07,-3.810399999999999762e-07,-2.844230999999999709e-09,3.368756663450032886e-09,4.408874169093511029e-09,-6.119200000000000127e-09
2.199924660000000131e+03,-3.696085999999998306e-07,2.799315995024524098e-09,3.696192004807108449e-07,-3.766199999999999936e-07,-1.481277999999999856e-09,3.308798523741812726e-09,3.625235466007690599e-09,-6.144200000000000351e-09
2.299924689999999828e+03,-3.703703999999998103e-07,2.998987135684218944e-09,3.703825415971976856e-07,-3.771599999999990177e-07,-1.900560000000000311e-09,3.397991434833231342e-09,3.893388511926339983e-09,-6.685400000000000095e-09
2.399924660000000131e+03,-3.754909999999999045e-07,4.938306086098780727e-09,3.755234719002261481e-07,-3.847799999999999819e-07,-2.402076999999999914e-09,3.738829584184199856e-09,4.443964510828141855e-09,-6.968600000000000110e-09
2.499924660000000131e+03,-3.809677999999997514e-07,2.978054257396951971e-09,3.809794396604623376e-07,-3.881399999999999803e-07,-2.345367000000000427e-09,3.700817308461875701e-09,4.381414739019807199e-09,-8.053499999999999952e-09
2.599924700000000030e+03,-3.804887999999998700e-07,3.294462408345267369e-09,3.805030622846548344e-07,-3.888399999999999799e-07,-5.263799999999999959e-09,1.673562167473919147e-09,5.523441026063372546e-09,-8.922400000000000539e-09
2.699924689999999828e+03,-3.748223999999998822e-07,3.177664903667514394e-09,3.748358695429239094e-07,-3.821599999999999757e-07,4.971160000000000026e-10,4.224293789137304209e-09,4.253443585425813856e-09,-8.288200000000000392e-09
2.799924660000000131e+03,-3.768201999999998871e-07,3.932048316081611777e-09,3.768407145359959118e-07,-3.877799999999999956e-07,2.884122999999999885e-09,3.837527234010333270e-09,4.800497969054876224e-09,-8.196399999999999531e-09
2.899924649999999929e+03,-3.777729999999999510e-07,3.125777183357786033e-09,3.777859314638383190e-07,-3.848399999999999970e-07,-1.884090999999999341e-09,4.704179945072148188e-09,5.067455757271097583e-09,-8.273499999999999605e-09
2.999924700000000030e+03,-3.790981999999998761e-07,4.148876566011599443e-09,3.791209021143517895e-07,-3.903200000000000170e-07,8.137800000000000581e-10,5.205611686977812974e-09,5.268835822456418053e-09,-8.069200000000000218e-09
3.099924660000000131e+03,-3.804779999999997625e-07,3.199526840018731090e-09,3.804914525400010408e-07,-3.884799999999999952e-07,-3.689079999999997977e-10,5.064808828784754186e-09,5.078226224244051824e-09,-8.020199999999999250e-09
3.199924689999999828e+03,-3.792363999999998581e-07,3.391917899949801883e-09,3.792515684766509379e-07,-3.888600000000000026e-07,-1.553277000000000322e-09,4.510906564557839277e-09,4.770843476042784732e-09,-8.010599999999999614e-09
3.299924689999999828e+03,-3.798879999999998876e-07,2.895928175904924201e-09,3.798990378297895877e-07,-3.859999999999999889e-07,-1.451646999999999919e-09,4.793766577096865035e-09,5.008740061961690330e-09,-7.942899999999999941e-09
3.399924689999999828e+03,-3.767639999999998392e-07,3.754208305355505893e-09,3.767827036582225545e-07,-3.871400000000000110e-07,-1.465375999999999304e-09,4.847739041679533485e-09,5.064375641438932639e-09,-7.992699999999999500e-09
3.499924660000000131e+03,-3.767351999999997642e-07,2.791745145961587727e-09,3.767455437825374903e-07,-3.824399999999999755e-07,-1.837350999999999563e-09,4.618529067971642262e-09,4.970580393565724875e-09,-7.839900000000000607e-09
3.599924660000000131e+03,-3.654681999999998791e-07,4.057079831603016968e-09,3.654907182241429534e-07,-3.744999999999990190e-07,-8.571650000000002138e-10,4.125269739189790490e-09,4.213381333121891004e-09,-7.789200000000000358e-09
3.699924660000000131e+03,-3.599305999999999209e-07,2.853143466424347072e-09,3.599419081518570910e-07,-3.668599999999999909e-07,-1.528402000000000240e-09,4.589761012950020366e-09,4.837552979513506283e-09,-7.787499999999999423e-09
3.799924689999999828e+03,-3.585863999999998419e-07,3.226172816201874058e-09,3.586009125141762839e-07,-3.669599999999999984e-07,-1.935933000000000495e-09,4.798931039013896663e-09,5.174705373033328447e-09,-7.838999999999999917e-09
3.899924689999999828e+03,-3.574549999999999407e-07,3.129388917983797128e-09,3.574686980701944932e-07,-3.648399999999999768e-07,-1.681132999999999886e-09,4.640948748543879433e-09,4.936052415675911027e-09,-7.751699999999999195e-09
3.999924689999999828e+03,-3.576469999999998408e-07,3.033148034633331151e-09,3.576598615947838487e-07,-3.669999999999999908e-07,-3.662059999999998829e-10,4.853453857611505492e-09,4.867249858225895196e-09,-7.761499999999999719e-09
4.099924659999999676e+03,-3.598599999999998355e-07,3.339095685960469899e-09,3.598754911910505237e-07,-3.686199999999999749e-07,-1.768125999999999939e-09,4.762147548378147578e-09,5.079795155751853204e-09,-8.572400000000000714e-09
4.199924659999999676e+03,-3.569443999999999917e-07,3.466604771242301981e-09,3.569612332452922323e-07,-3.663799999999999760e-07,-1.082806999999999981e-09,5.301960077674199010e-09,5.411400157491589306e-09,-8.597000000000000815e-09
4.299924659999999676e+03,-3.533329999999998725e-07,5.474762003959608995e-09,3.533754121440821425e-07,-3.633399999999990170e-07,-2.433151999999998175e-09,5.046454339265930538e-09,5.602403953072282826e-09,-2.527679999999989849e-08
4.399924659999999676e+03,-3.527593999999998256e-07,4.323740468622073464e-09,3.527858968553021725e-07,-3.619999999999999857e-07,-1.226670000000003892e-10,5.622724499796428354e-09,5.624062410171139014e-09,-8.767500000000000588e-09
4.499924699999999575e+03,-3.504351999999999059e-07,2.065528736183494711e-09,3.504412872479496418e-07,-3.538599999999990142e-07,-2.545363000000000116e-09,3.835374375511600363e-09,4.603147771047547694e-09,-8.244799999999999487e-09
4.599924689999999828e+03,-3.504211999999996783e-07,3.092421471921299534e-09,3.504348448428035968e-07,-3.586200000000000177e-07,-2.336550999999999659e-09,4.855247371566045869e-09,5.388218408221775075e-09,-8.202799999999999839e-09
4.699924659999999676e+03,-3.459367999999999190e-07,4.006719076750901587e-09,3.459600025898946188e-07,-3.532400000000000052e-07,2.601235000000000065e-09,4.049125998468681914e-09,4.812675438537279902e-09,-6.078600000000000082e-09
4.799924699999999575e+03,-3.424829999999997985e-07,2.795129156228747542e-09,3.424944058462852120e-07,-3.490599999999999771e-07,-1.379195000000000013e-09,5.048491779083630163e-09,5.233492915013834748e-09,-8.242800000000000528e-09
4.899924659999999676e+03,-3.432191999999998233e-07,3.551833239328630111e-09,3.432375777329748194e-07,-3.504599999999999764e-07,-9.087999999999997982e-10,5.353537068088722762e-09,5.430126755371369626e-09,-8.093100000000000518e-09
4.999924659999999676e+03,-3.442645999999998387e-07,2.850442569146047278e-09,3.442764003471627800e-07,-3.526199999999999904e-07,-1.934861999999999889e-09,5.136026429503259963e-09,5.488393065697827155e-09,-8.084900000000000484e-09
5.099924649999999929e+03,-3.429535999999998609e-07,3.978417655299625493e-09,3.429766749503527258e-07,-3.528200000000000054e-07,-9.604959999999999059e-10,5.400232084233417146e-09,5.484984879614527672e-09,-8.080800000000000467e-09
5.199924659999999676e+03,-3.388945999999998376e-07,3.439373030073993310e-09,3.389120523026584123e-07,-3.464800000000000162e-07,-1.348541000000000089e-09,5.127850467673467316e-09,5.302208336863047067e-09,-8.021900000000000185e-09
5.299924699999999575e+03,-3.411697999999998341e-07,3.582243425564497502e-09,3.411886060524294590e-07,-3.503199999999999764e-07,-1.645091999999999968e-09,5.226435031293894096e-09,5.479229035621708382e-09,-8.075600000000000527e-09
5.399924699999999575e+03,-3.428409999999999397e-07,3.394750506296430416e-09,3.428578066954286310e-07,-3.500399999999999766e-07,-8.453019999999998795e-10,5.227719921552415632e-09,5.295619987253616971e-09,-8.003799999999999182e-09
5.499924659999999676e+03,-3.439351999999999470e-07,3.775352825895798002e-09,3.439559202688622738e-07,-3.534399999999990144e-07,1.074978999999999623e-09,5.287845837414229861e-09,5.396007176672395614e-09,-8.133300000000000441e-09
5.599924699999999575e+03,-3.452473999999998308e-07,3.686391899947681562e-09,3.452670802321007551e-07,-3.535799999999990143e-07,-1.637970999999999782e-09,5.261336048083129215e-09,5.510408878449947257e-09,-8.074699999999999837e-09
5.699924659999999676e+03,-3.521233999999998985e-07,3.251301345615329965e-09,3.521384099867549240e-07,-3.585799999999990194e-07,-2.080116000000000016e-09,5.513012636729939501e-09,5.892384144486847787e-09,-8.219300000000000351e-09
5.799924659999999676e+03,-3.499063999999997404e-07,3.445626654180621262e-09,3.499233646157395628e-07,-3.586200000000000177e-07,-9.505279999999998013e-10,5.082391306994768573e-09,5.170513018666522375e-09,-8.630599999999999541e-09
5.899924699999999575e+03,-3.470751999999999605e-07,3.574359937107580380e-09,3.470936048157613549e-07,-3.561599999999999811e-07,-1.063363999999999969e-09,5.659870626622484591e-09,5.758895597820818608e-09,-8.781399999999999475e-09
5.999924689999999828e+03,-3.477175999999998631e-07,4.223890415245154691e-09,3.477432538526088166e-07,-3.592600000000000022e-07,-9.715549999999997536e-10,5.440367579279454834e-09,5.526438140041015111e-09,-8.842400000000000815e-09
6.099924689999999828e+03,-3.486889999999999534e-07,3.829620738402152834e-09,3.487100295603783133e-07,-3.577999999999999878e-07,-9.378979999999989878e-10,4.723999361642206908e-09,4.816204172084067637e-09,-8.599800000000000019e-09
6.199924659999999676e+03,-3.439179999999998639e-07,3.862644172066602376e-09,3.439396905621680199e-07,-3.518400000000000059e-07,-8.422280000000003925e-10,5.524530054187052359e-09,5.588361148279520035e-09,-8.487599999999999518e-09
6.299924689999999828e+03,-3.408507999999998694e-07,3.331712376541545988e-09,3.408670828460852338e-07,-3.474000000000000006e-07,-1.900649999999999635e-09,5.563000319117373988e-09,5.878728006380291608e-09,-8.265299999999999572e-09
6.399924699999999575e+03,-3.408083999999999060e-07,2.196135114240443968e-09,3.408154757636453601e-07,-3.463199999999999936e-07,1.593911999999999531e-09,3.199726723464990042e-09,3.574745664883027469e-09,-4.344199999999999950e-09
6.499924689999999828e+03,-3.440407999999998867e-07,3.526155889917504289e-09,3.440588697301668043e-07,-3.516199999999990153e-07,-2.536758000000000020e-09,5.396086132229173636e-09,5.962624145206538303e-09,-8.085799999999999520e-09
6.599924689999999828e+03,-3.451977999999998487e-07,3.604575864092723552e-09,3.452166190843075528e-07,-3.540999999999999746e-07,-7.218370000000001410e-10,5.408474088163037268e-09,5.456431124544687420e-09,-8.043299999999999304e-09
6.699924699999999575e+03,-3.431369999999999577e-07,3.554650334421048707e-09,3.431554113051402178e-07,-3.506599999999999914e-07,-9.511679999999999149e-10,5.304984427891943136e-09,5.389580720649798157e-09,-8.069200000000000218e-09
6.799924699999999575e+03,-3.442395999999998368e-07,2.924672945818018534e-09,3.442520238429977437e-07,-3.517599999999990152e-07,-1.995111999999999965e-09,4.700956959838709263e-09,5.106806069433222189e-09,-8.033399999999999990e-09
6.899924659999999676e+03,-3.456311999999999643e-07,3.534307649314062178e-09,3.456492698444478259e-07,-3.534399999999990144e-07,-1.188589999999996203e-10,5.274133243256090006e-09,5.275472389227337496e-09,-8.011999999999999216e-09
6.999924689999999828e+03,-3.473961999999998745e-07,2.727323515830105617e-09,3.474069056135757461e-07,-3.566799999999999884e-07,-3.199092000000000599e-09,4.737186746829387403e-09,5.716216222187540806e-09,-8.031799999999999499e-09
7.099924659999999676e+03,-3.480123999999997633e-07,3.903323486466397908e-09,3.480342892417353360e-07,-3.546799999999999970e-07,-2.361699000000000325e-09,5.106682704779982719e-09,5.626351430003283985e-09,-8.004299999999999749e-09
7.199924689999999828e+03,-3.467697999999998313e-07,3.766446064926465404e-09,3.467902540556753883e-07,-3.544799999999999819e-07,-7.495899999999998899e-10,5.430943340479626051e-09,5.482429273196326714e-09,-7.934800000000000351e-09
7.299924689999999828e+03,-3.450667999999998325e-07,3.248373402181512542e-09,3.450820893526639389e-07,-3.514999999999999910e-07,-3.431259999999999998e-10,5.335590797889582695e-09,5.346612442883811059e-09,-7.993200000000000067e-09
7.399924659999999676e+03,-3.447449999999998223e-07,4.227167727923739867e-09,3.447709152060247436e-07,-3.527999999999999828e-07,-9.026749999999996772e-10,5.332812608771753585e-09,5.408670120824526412e-09,-7.929499999999999966e-09
7.499924649999999929e+03,-3.408267999999998422e-07,3.562776692412768299e-09,3.408454209403434672e-07,-3.485399999999990169e-07,-1.815646999999999903e-09,4.939967406622335452e-09,5.263064887221132939e-09,-8.180300000000000796e-09
7.599924689999999828e+03,-3.330875999999998439e-07,5.354638945811423425e-09,3.331306371860742925e-07,-3.460199999999990181e-07,2.467901999999999942e-09,3.596062022545772816e-09,4.361444984360113719e-09,-6.942799999999999641e-09
7.699924689999999828e+03,-3.301335999999999354e-07,3.698217819436821403e-09,3.301543134111682719e-07,-3.377400000000000054e-07,-1.120694999999999096e-09,3.184674813112786574e-09,3.376108847223377074e-09,-6.992899999999999706e-09
7.799924659999999676e+03,-3.353739999999998107e-07,2.862739247643867170e-09,3.353862178921488099e-07,-3.425000000000000030e-07,-1.389567000000000481e-09,2.955932359884266177e-09,3.266256659189532840e-09,-7.039299999999989950e-09
7.899924689999999828e+03,-3.361753999999999730e-07,3.847814813631183401e-09,3.361974200436403197e-07,-3.460399999999999937e-07,-1.196815999999999561e-09,3.149047215451677940e-09,3.368807935012021494e-09,-7.001899999999990059e-09
7.999924699999999575e+03,-3.386299999999999029e-07,6.032282155204651475e-09,3.386837246281549438e-07,-3.566799999999999884e-07,-1.530683999999998723e-09,7.179818038219620789e-09,7.341170245253805429e-09,-6.772269999999989477e-08
8.099924689999999828e+03,-3.375303999999998948e-07,3.810299179854525019e-09,3.375519060885302232e-07,-3.476000000000000156e-07,-6.159199999999997715e-10,4.914115918351947274e-09,4.952564255554893165e-09,-8.336799999999999583e-09
8.199924689999999828e+03,-3.377755999999999717e-07,3.973571270280621883e-09,3.377989716147755538e-07,-3.455199999999999864e-07,-2.773819999999989600e-10,3.671948119578485947e-09,3.682410048704513483e-09,-7.781599999999999681e-09
8.299924650000000838e+03,-3.389975999999999279e-07,3.462613209701563914e-09,3.390152835728795797e-07,-3.474399999999999930e-07,-7.952809999999990449e-10,3.624624272105866634e-09,3.710845319182676587e-09,-7.734299999999999648e-09
8.399924689999999828e+03,-3.385019999999999695e-07,3.414728686147679278e-09,3.385192230523991293e-07,-3.481799999999999851e-07,3.050051999999999633e-09,4.461961265328958476e-09,5.404804856421738191e-09,-7.764300000000000578e-09
